视频时长,视频AV号,播放量,弹幕数,评论数,点赞数,投币数,分享数
21,739021874,231079,99,273,12724,462,59
8,443301608,23213,1,33,4286,95,11
34,939003593,1839489,946,1177,201569,1946,2141
580,485797369,13087,128,91,675,148,5
29,270850308,309458,32,377,20049,180,213
18,485752898,525421,85,373,44350,2665,1220
12,355831697,454191,65,396,32193,305,467
114,613284413,2152068,1282,947,179854,41358,11542
245,868321476,60571,81,122,1036,73,1
7,783252597,19220,7,47,6553,193,18
79,655755946,3605951,1485,1862,422643,8911,3323
108,953183857,1706857,1616,3057,20504,1114,18279
23,685726096,3175188,787,1272,194483,5003,8906
18,270778323,55781,12,88,6107,478,50
11,400769225,265185,41,108,21668,343,104
16,485864535,1442771,192,1555,161814,1144,1083
300,698339960,2071770,4238,2737,82773,9100,6745
90,783336950,1779202,1848,1077,229356,3010,2035
209,698659933,805314,1359,910,74920,9155,5693
122,257264141,17938586,41614,9876,1078720,516001,196918
166,270745162,3534925,2368,2449,347535,167204,23293
158,355903423,3197760,2912,3507,342434,233648,28799
76,910808485,1846867,1403,2939,232910,14337,13511
138,395507053,3162342,2019,2849,111557,9452,55559
116,697913711,4332971,2802,2313,359169,132114,32339
276,868631781,567766,565,408,45601,7212,3030
74,867944334,555065,615,577,73155,8584,12484
219,868646266,516482,751,1026,32305,7388,3819
42,653817441,349950,58,129,7094,103,735
156,813466156,4721118,19344,4064,516060,113860,35926
75,996085187,1481346,585,557,110615,17627,7075
53,53447490,90019,34,135,569,5,40
114,613284413,2152068,1282,947,179854,41358,11542
76,401066630,1636150,483,1936,169278,16226,2525
93,271311926,421455,661,632,30754,8749,855
91,669471891,29365198,81060,18734,1249272,374086,379271
119,228613736,1378187,891,647,68316,1990,4201
13,740880268,702026,163,673,59828,4305,13020
39,86995249,2048350,9310,4924,60298,2747,45718
101,400990025,1505818,1028,886,126342,23638,13073
26,483275099,25480,2,8,329,6,16
47,312873374,1844856,556,2141,81846,3469,10475
16,909196085,5403336,687,1774,214932,11951,70226
27,301653149,717187,294,435,13268,2074,11853
147,740539557,1999342,2680,2546,291449,106291,12794
163,655908322,680815,823,1115,11187,130,2324
68,868405215,150773,274,162,6160,477,825
95,911035235,1986661,336,1141,74464,5102,3668
102,953130896,4482815,3833,1433,274031,36804,30601
61,312355523,7937126,13673,6656,553335,164399,118145
133,698079605,5405902,5233,9440,756526,330055,117643
92,271294917,906733,323,3087,56314,5232,2828
16,826136207,1553979,419,1582,125492,2505,34291
92,398541585,1306193,1066,931,136327,36227,22118
141,698275944,3590239,4333,2416,314246,50448,48483
252,740771591,1328438,1483,310,50697,4396,5759
28,687408832,242163,16,36,1360,6,677
167,313840830,211355,485,598,25632,7472,3530
66,313872011,535362,766,921,41061,3823,5055
86,401218248,678761,313,1317,29965,5472,653
100,910787823,14826051,24521,35366,1016113,510124,113762
253,689295605,13639329,9706,10041,906603,156869,38661
226,953512986,1057475,2320,2162,133819,29837,11891
112,783504494,150061,410,139,8273,437,252
99,613605141,123875,301,336,3326,567,60
93,598277453,435127,283,1140,27608,6082,925
106,741068045,100304,120,134,8577,566,91
87,776458504,3409037,1653,3956,162684,35760,8276
93,271311926,421455,661,632,30754,8749,855
127,953775211,143475,231,370,6176,718,56
77,270985593,861553,543,808,144877,20155,4613
206,911176271,3830116,2316,2901,372245,64769,65904
93,270928163,1127007,1770,2099,184645,45335,10943
183,868680142,214289,186,483,13237,3205,143
52,783772356,753580,616,684,96958,7840,2095
24,741181680,220950,199,439,11091,112,3507
28,228650823,75260,40,171,11279,531,170
79,382722436,335404,161,519,14290,2904,279
91,868673773,58587,121,178,6052,345,76
89,604421765,1265222,365,1908,41311,6525,1314
74,735622954,1384962,475,1909,66641,19508,2781
67,401179931,430554,418,1028,60623,3612,449
94,698686292,20701,117,79,3483,138,40
72,566414348,638191,340,1586,29480,6356,1149
31,398282982,383795,237,522,59536,3866,882
92,520688407,1661314,926,2479,81551,17162,3708
74,524678273,794733,272,1461,54087,10341,1854
72,355979639,4162432,2928,5372,504407,73345,11929
89,868018622,634540,221,1031,34133,4478,651
219,868646266,516482,751,1026,32305,7388,3819
109,523364431,388622,135,1004,17270,2744,378
92,485790486,127899,217,355,15794,1566,158
37,271139585,709032,626,1946,51730,1759,4844
28,478229509,212498,188,1034,18389,2937,413
36,394070810,415939,175,1434,29428,5829,977
89,721431791,275333,168,677,11221,2555,209
1592,313529737,2411034,20803,3226,179480,114187,13387
59,867343899,334263,159,1007,21766,3395,455
63,822684430,220643,112,839,14042,3416,373
73,826019543,1893520,437,1010,128518,4307,4175
16,571250157,237820,16,217,8745,102,65
23,224727376,1045004,540,1110,45954,1266,2246
23,685726096,3175188,787,1272,194483,5003,8906
98,443755330,173058,561,403,2639,458,84
12,356316697,151272,40,311,13725,895,340
22,852522779,1943617,565,798,108546,1977,2360
15,783838430,78685,1,160,8209,266,35
16,225954134,791653,202,521,39663,355,526
27,610052639,802345,291,686,53408,672,1139
11,953696434,121641,8,47,1430,25,23
128,313801113,153994,63,178,11547,378,197
28,861783506,42070,0,6,213,0,0
9,588597487,17523692,616,2965,184129,7483,7005
9,398489633,472641,50,457,14895,253,469
145,313761440,104143,107,167,7406,412,65
55,271329474,138600,32,79,2576,17,9
43,401284489,638111,230,1080,32616,458,434
21,826309525,294572,111,486,29777,740,86
29,510681781,1817109,418,1094,101872,3550,3789
31,953815264,227187,822,1075,17780,103,41
20,228840844,85703,31,107,3582,26,32
36,398770201,53106,22,35,2399,23,30
48,313797710,23931,35,135,1629,211,107
73,741345755,316259,306,864,5739,289,1330
78,313870563,154710,294,204,9065,651,70
22,313854562,8225,9,42,575,12,3
201,826318889,1051672,2464,2817,64072,56970,517
16,226800618,1607336,26,50,24245,801,2347
64,613371129,125881,80,257,11950,456,58
112,571285306,214215,180,667,22092,1695,1083
251,401367308,477639,670,1167,26559,1501,735
15,803596583,12054308,1364,3936,347906,47803,58500
7058,570889935,6910102,37089,8808,102604,69835,590
29,270850308,309458,32,377,20049,180,213
21,911297405,48610,42,225,1515,72,51
11,401261388,635033,252,671,37595,1228,8367
164,911329708,137452,242,267,18202,436,155
64,356336314,267816,558,294,23680,1050,634
302,656239647,157679,228,193,3090,130,503
72,571258337,343567,335,1906,19772,3247,11656
213,571313813,2156816,2395,1556,108216,2045,799
11,401261388,635033,252,671,37595,1228,8367
7058,570889935,6910102,37089,8808,102604,69835,590
1426,571340974,3945240,8300,2418,35138,6359,52
213,783800586,505816,816,506,28735,983,363
10,356170012,623078,163,634,16722,175,196
11,953696434,121641,8,47,1430,25,23
1516,953844079,816378,1439,703,7563,4035,4
16,656296180,39196,9,46,1508,29,5
113,698758377,523480,370,601,38135,1616,1112
141,868739584,1554594,2472,1323,144541,18283,8855
1694,313852527,614159,1418,228,5355,3092,1
33,227742052,129916,66,139,6367,185,130
66,313872011,535362,766,921,41061,3823,5055
11,782843818,3564638,251,703,176693,4376,6324
98,443755330,173058,561,403,2639,458,84
102,656331548,605116,810,1173,60488,761,602
11,271346219,302275,185,660,13248,3784,89
636,528860001,2362820,1997,770,114855,6919,3714
379,228873006,658443,2293,935,44618,6729,537
38,953522108,45802,12,105,1520,78,25
163,443727636,874148,1393,2875,93253,5185,1484
21,443300988,632037,196,424,49926,902,3884
148,313800934,153747,206,381,14313,5284,382
31,953815264,227187,822,1075,17780,103,41
7,398249077,40708,7,83,7372,128,201
90,486363529,259062,2754,1397,55033,6099,572
30,603894865,934630,87,819,6250,59,278
181,911265106,308697,424,1091,28466,2240,1188
213,571319516,516237,904,724,46373,4914,1323
10,397852142,63487,12,45,4203,44,33
41,698821427,223893,74,601,38374,4173,229
391,228798009,528355,524,508,36037,5572,769
140,741075068,2592172,2206,3238,175509,101300,43235
10,610147498,192409,10,89,2221,37,717
26,486341208,431393,92,303,45696,3347,483
137,528848135,340558,261,1454,16323,2907,229
143,868848352,3552826,4034,6555,245992,4015,1963
797,313690196,5605028,15639,5851,542744,285195,22667
214,528829125,439479,663,430,27165,2126,818
37,996286952,1313113,251,435,83173,839,1654
43,401284489,638111,230,1080,32616,458,434
505,228518271,203108,698,360,10679,1463,243
23,224727376,1045004,540,1110,45954,1266,2246
14,602793513,1937315,369,1054,209413,9499,1024
15,803596583,12054308,1364,3936,347906,47803,58500
16,225954134,791653,202,521,39663,355,526
25,648980377,2468634,549,813,85175,1422,448
19,604487890,1995244,678,1706,255154,2251,5709
22,852522779,1943617,565,798,108546,1977,2360
12,982818139,1276947,392,941,63854,2013,2355
27,610052639,802345,291,686,53408,672,1139
68,655986256,632711,420,811,21626,1992,10476
12,226036865,390814,158,410,38277,437,628
25,396246163,1582512,531,728,169957,1938,2979
56,528534412,230330,73,142,6394,111,198
19,354865453,1984120,145,348,105420,1519,469
23,685726096,3175188,787,1272,194483,5003,8906
40,908133480,3416697,298,982,175356,1155,950
16,613595354,202078,71,129,6782,91,69
15,571020302,424951,31,165,24211,54,377
29,510681781,1817109,418,1094,101872,3550,3789
17,396174471,625710,262,541,24501,1236,307
17,395480774,507055,154,400,4789,156,1611
21,739021874,231079,99,273,12724,462,59
132,613172408,1330762,1138,2427,37229,1585,536
14,313618223,989728,273,877,116517,1226,738
29,270850308,309458,32,377,20049,180,213
12,613608050,271538,34,229,12528,222,501
184,486101393,448228,348,404,6408,56,77
16,571250157,237820,16,217,8745,102,65
92,868569025,303762,54,235,14660,134,195
20,613572845,331564,88,322,9265,40,359
39,826215688,1601382,606,1163,231568,7919,2296
14,486065296,57297,3,72,3508,129,34
51,398458430,159046,20,58,3344,19,30
73,398564269,416374,171,263,19835,914,271
64,613371129,125881,80,257,11950,456,58
110,909392855,186091,188,469,19221,1669,158
222,398537078,786209,2303,1211,52023,3956,2391
80,486099832,407547,372,540,8162,264,3253
86,868564366,1201393,975,1682,92809,3706,4732
32,442228110,799019,238,531,63668,661,715
81,868021036,11360322,7394,7859,655915,130796,161945
20,257900937,23623365,5216,8039,1103936,15518,3555
43,227879530,2588553,736,1067,131400,11492,34382
27,783004305,1176241,472,707,42361,1492,14062
87,270267129,4110930,5830,4806,99006,5030,47840
92,442960465,1677812,1250,861,52106,6799,10520
393,868283341,291924,359,121,6222,55,325
11,226737059,1773309,214,464,16446,391,5377
119,228613736,1378187,891,648,68316,1990,4201
88,527748322,6743427,1877,3346,218772,25735,40270
53,868435719,5644753,1758,2960,599383,44234,78101
65,760898443,1451671,1754,2428,43440,11806,24922
151,868771308,1833438,2247,1912,124000,39811,33071
88,397840653,2009368,772,1134,73533,6842,8576
79,270573501,1944052,1197,1168,187443,5081,11791
98,782853546,1516031,1080,1182,44826,8167,10922
140,312517101,1396212,891,788,103942,24629,11822
107,911026989,160119,90,106,7501,514,1199
115,400509117,1597253,1311,832,82279,4166,6959
94,995619394,521740,463,525,61847,1916,6223
76,910808485,1846867,1403,2939,232910,14337,13511
75,996085187,1481346,585,557,110615,17627,7075
86,355643853,1309808,1338,769,71646,5961,16385
163,355522056,1879010,2370,1911,108791,20836,43044
125,910573206,1236007,597,510,39707,2571,5021
111,485605798,706810,911,578,36326,4250,10482
51,503526638,3312935,3087,2236,53512,5194,22675
159,400687011,2838353,1677,782,25688,1995,1585
30,355346681,608682,328,310,8929,79,1143
17,589856019,12065793,9818,22804,393570,109454,179454
188,910181899,5309965,39404,15940,140318,8636,106252
78,910345771,1918825,1558,1726,119892,13294,43170
62,655332803,1474135,1046,1330,57690,7459,22110
102,953130896,4482815,3833,1433,274031,36804,30601
237,398294630,3252607,4054,2816,448198,427716,32993
79,270175893,792897,664,951,23656,6462,15527
225,355564665,1219858,8324,3228,48339,1277,8059
142,943121738,1479198,1243,660,99907,4493,7928
155,740377132,2366867,2143,1000,47880,684,1854
70,485504164,842456,575,717,92936,8963,12791
49,461010616,235510,251,348,8154,1398,3905
8,826069221,1479726,413,1732,157541,4025,5487
11,505957957,4767617,809,1851,142582,10108,13775
11,355494407,197943,39,146,19371,205,322
17,313420689,327273,118,211,12371,180,314
15,219603481,2768603,257,1703,131138,5436,16830
28,905379599,14167,0,1,105,10,20
21,295274964,1507175,480,608,63986,1852,2425
11,698347489,198402,21,105,10676,70,149
12,698203231,714507,34,369,17228,138,254
14,822377829,420138,157,739,76473,2540,3236
13,306439778,2524949,260,741,42181,634,2410
67,228287298,130387,33,117,6432,94,146
81,868021036,11360322,7394,7859,655915,130796,161945
8,228737034,19995,2,17,1912,8,16
10,774208172,2073902,359,1337,82573,10089,4117
11,388287803,3746161,354,1082,193040,2955,10143
11,258156698,160324,39,143,8822,276,542
11,312171988,999122,196,562,51011,994,2716
12,899408842,27653,5,22,579,20,58
9,736634923,181057,49,191,22031,451,682
23,351313421,1200675,82,267,29410,212,340
37,868567497,955947,789,2175,43915,834,7735
22,570640845,275556,55,285,7257,103,138
31,353974379,4554254,809,1688,332800,7759,12022
9,783198592,400005,51,263,10816,60,675
8,995827588,15845,1,30,2735,31,27
11,81766424,3359326,956,1951,111585,1937,16135
9,81005289,1257807,66,68,7840,80,136
12,398721995,85591,19,144,9540,336,59
10,868171484,179449,8,64,11450,66,114
11,995774888,662272,112,305,15085,156,667
10,952805017,204179,15,72,13871,32,217
19,528780836,259624,87,158,32170,173,199
28,271163078,442668,72,294,48827,1142,3880
12,868133876,244651,21,134,15704,77,142
9,313014686,122398,19,129,31922,470,315
8,613351725,12235,12,31,3164,46,42
10,307790644,561431,215,533,28084,240,1944
13,443598870,386088,15,148,13996,518,2716
14,313618223,989728,273,877,116517,1226,738
29,311045660,1171940,665,719,101505,1788,2009
92,271294917,906733,323,3087,56314,5232,2828
8,570376811,405405,46,346,17440,595,3356
209,698659933,805314,1359,909,74920,9155,5693
122,257264141,17938586,41614,9876,1078720,516001,196918
91,262481128,12435964,7036,4500,830762,136255,86661
13,740880268,702026,163,673,59828,4305,13020
22,694588305,447901,21,79,7105,99,452
61,524368665,1625847,374,1698,51334,1057,3067
73,698838979,333577,286,624,69675,9710,868
81,868021036,11360322,7394,7859,655915,130796,161945
129,429381690,7353215,9236,6726,606605,70992,47701
128,313865648,1449033,1638,1253,112108,26957,13636
9,83180234,3296085,592,704,94358,4946,12142
133,698079605,5405902,5233,9439,756526,330055,117643
16,643923077,3982545,757,1598,218802,27997,13958
158,355903423,3197760,2912,3507,342434,233648,28799
75,996085187,1481346,585,557,110615,17627,7075
95,911035235,1986661,336,1140,74464,5102,3668
69,443722556,229472,340,334,31619,1759,268
88,697563256,710389,261,691,32464,863,8269
18,995251101,323308,44,317,53553,160,156
68,443786536,458470,168,482,38144,91,952
14,844703577,8867616,3838,3806,297150,28180,91232
57,528365403,876518,900,1733,110641,9085,28279
118,355787768,470056,450,5475,22313,2596,4720
114,417626230,6152566,11249,3314,408394,148983,35668
136,996348502,292140,1403,562,40144,2600,209
121,527738742,143790,118,603,4425,456,2268
215,826291378,520282,671,452,39871,1305,1019
151,868771308,1833438,2247,1912,124000,39811,33071
80,774723431,679282,792,415,37404,6176,3784
95,260374868,1461377,1369,1034,120495,17220,5444
237,398852338,58854,258,250,2263,197,1087
89,687152577,2344463,4579,1787,121300,14988,16199
13,736620492,980917,15,260,8635,82,1009
77,825601415,4474170,1662,3084,345519,95710,59063
61,953335869,38156,4,43,699,17,124
214,783812226,84998,49,90,1372,43,33
20,271270164,217500,211,801,18849,1699,2240
61,312355523,7937126,13673,6656,553335,164399,118145
313,613148032,1426451,1715,1759,112912,24632,19686
19,354865453,1984120,145,348,105420,1519,469
15,697413803,420385,71,270,44482,553,159
24,269837024,198885,77,361,19587,385,1398
89,354756560,46454,6,15,571,14,22
18,400026407,819552,97,649,40217,3352,1925
16,781090962,726904,53,171,37006,479,234
14,226932880,826797,28,120,53506,1300,750
17,866018753,1649631,201,505,94744,956,798
17,612285531,172802,17,108,3293,83,16
60,262624695,1015928,180,137,8025,140,600
59,993071307,250917,33,99,4678,42,601
14,227172414,772166,168,407,37117,1456,481
13,645574828,401536,89,290,52180,678,318
128,994642419,2479025,2518,2044,80853,10090,11381
16,906183731,1218283,258,427,71607,638,826
14,227284733,66536,0,13,1488,14,22
52,698747247,46498,15,44,3314,101,15
99,442214327,2057641,1496,576,97094,10658,1180
14,442630286,155544,4,58,5038,176,61
17,730382703,2280535,722,1630,203269,8980,8056
27,654848967,189137,25,69,7502,97,60
15,439857935,336830,22,139,7997,269,133
23,569913662,187602,43,538,22764,3665,698
61,269584609,4545730,1146,2011,578783,43408,11850
139,354984112,979989,833,452,63107,11222,2697
17,867218864,140889,15,113,7901,238,46
26,431716331,547514,97,176,27994,792,359
151,782270085,127287,276,71,1492,306,38
69,354921163,1324441,1218,950,126898,22436,9881
268,824958056,3134976,7593,2875,396681,47802,15095
258,484915496,3388390,4782,3814,393020,111085,21601
15,439795270,820990,154,456,78023,1305,1249
131,824601121,875943,661,210,29332,5579,5768
21,816450882,610358,57,134,23711,414,147
14,952215354,199864,8,53,1870,22,46
134,909903050,2729444,735,1022,102411,15997,6598
212,867354150,597897,151,787,4971,52,126
184,227352523,1124693,2787,3614,36015,7003,536
15,867434633,126332,11,70,6087,292,85
17,730550282,1020082,231,551,93458,3649,3502
851,697293611,4248832,14617,3258,290996,95237,4651
21,826309525,294572,111,486,29777,740,86
204,741112487,280755,394,315,12083,4073,688
88,204733494,4494139,2562,4077,207057,34184,9108
19,219764876,2379753,363,1701,123016,6373,5089
36,392585424,780569,1128,1933,69981,7720,1281
15,986147546,5113093,1684,2780,206734,16032,12997
18,400026407,819552,97,649,40217,3352,1925
206,911176271,3830116,2316,2901,372245,64769,65904
12,313789160,418299,72,490,53672,1677,370
16,228430646,526017,1136,469,16813,855,4665
11,268643147,382935,96,496,29969,1902,383
9,866268783,588495,129,623,23096,591,196
636,528860001,2362820,1997,770,114855,6919,3714
152,313632800,1036998,855,801,74826,35897,1063
17,989820836,919493,320,986,42265,1426,487
26,440630315,554151,413,923,28894,2529,265
15,731300452,751892,278,726,36422,2721,889
20,866440408,283942,133,463,20183,1083,158
16,994270789,454952,313,766,24871,2057,231
36,480190633,1099649,1302,1943,95341,8865,754
32,269715269,480369,214,817,39832,4908,550
248,868804473,1133660,985,1656,53186,4499,8075
38,525367459,504299,268,985,37435,1702,264
797,313690196,5605028,15639,5851,542744,285195,22667
74,996178439,802750,461,1560,47690,1292,1943
140,741075068,2592172,2206,3238,175509,101300,43235
37,528217755,617512,216,936,86204,3032,2972
19,694658892,970870,468,1237,39481,2683,543
324,313761156,2576737,5823,9239,217349,41681,31867
256,228865234,601614,492,277,50882,2320,512
17,568291901,435140,174,653,43172,1740,370
82,271364654,661385,390,573,41338,11182,3553
156,698722644,978625,1159,643,93913,21531,2892
211,613806966,355557,2144,2299,18716,2393,2688
21,906708445,705020,308,765,59348,2903,1664
87,953763534,888399,627,841,32555,1639,4930
17,691044957,625929,259,715,37521,2167,591
37,271139585,709032,626,1946,51730,1759,4844
85,398707448,3294114,1803,3253,271480,38933,47518
93,271311926,421455,661,632,30754,8749,855
168,826258969,671817,937,1378,73018,5726,6328
227,401150706,2234605,3586,3165,245468,26547,5438
138,395507053,3162342,2019,2849,111557,9452,55559
39,826215688,1601382,606,1163,231569,7919,2296
207,348731157,11496469,15487,15697,1163059,180856,126122
121,343293316,8860723,3940,2288,621450,21817,5844
38,486202842,3397397,2747,3354,300571,15957,7165
55,868553128,446127,275,800,12387,150,606
100,910787823,14826051,24521,35366,1016113,510124,113762
31,398327683,880889,33,543,37247,242,731
198,868734579,362440,632,689,21560,733,367
231,897996061,1089285,1837,1874,96319,21952,4368
283,528586148,1461149,6883,2291,90826,7653,15794
839,996220554,2405567,33508,33362,256704,161020,30170
797,313690196,5605028,15639,5851,542744,285195,22667
233,911229454,2093985,5210,6723,192328,55788,13218
187,868513008,171214,265,145,11382,774,100
10,952710592,109883,47,144,6744,15,92
234,783653993,384919,381,689,41155,3110,206
206,911176271,3830116,2316,2901,372246,64769,65904
134,271072177,1762840,2263,2036,166852,10653,36452
116,826192380,849062,875,3194,55851,6717,6895
81,868021036,11360322,7394,7859,655915,130796,161945
12,656061953,1960482,399,2685,126080,1445,19757
188,356268117,1349344,1204,1218,38545,834,1948
258,484915496,3388390,4782,3814,393020,111085,21601
263,398850674,2539981,3700,2728,123150,3897,8347
143,868848352,3552826,4034,6555,245992,4015,1963
316,356119453,1789723,1520,1721,100444,6558,15042
188,740384395,1700703,1498,4459,157098,25719,6241
179,613075153,241093,427,255,21275,710,376
212,228432581,790579,1169,1155,21633,3911,257
199,605988858,2603199,2023,1835,211346,29793,7652
85,398707448,3294114,1803,3253,271480,38933,47518
114,398566379,971633,227,1040,66303,8768,6992
226,996205843,279231,388,204,15468,856,135
32,868524199,2276216,362,2192,253108,13873,3159
298,815304709,2939659,5262,3496,237437,87135,20132
205,768477873,966123,1787,1096,65446,20550,4234
34,271068651,2161232,936,2788,324649,10857,16703
12,398586034,1667327,312,1155,246348,4083,4706
22,741133122,1224363,450,1491,215727,9585,3410
39,826215688,1601382,606,1163,231568,7919,2296
30,220282027,4169664,715,1024,272356,2944,3125
49,520499426,8879238,5287,8092,1147458,95799,77073
12,398586034,1667327,312,1155,246348,4083,4706
40,908133480,3416697,298,983,175356,1155,950
23,603268257,3565649,207,253,33528,339,417
99,215754669,4447921,2332,2348,353201,17334,8603
83,952630557,825377,867,962,91844,1611,2211
150,37525880,4406540,10953,7278,174499,6007,25506
59,304069277,2724189,1079,1503,248045,2594,2493
25,396246163,1582512,531,729,169957,1938,2979
81,868021036,11360322,7394,7859,655915,130796,161945
67,570404546,4924910,1597,2655,425168,20290,9813
100,910787823,14826051,24521,35365,1016113,510124,113762
34,691061227,2878707,910,2750,354552,12584,11785
39,910376336,2163664,1519,2629,204315,15817,25373
100,994400250,1405777,659,427,122600,935,218
62,523498353,2469456,442,747,143575,1827,779
111,610818405,1998320,905,888,220302,6121,5242
54,948118254,1873904,604,1135,195225,2877,1983
69,656230041,1536441,1196,2163,67512,5638,31762
23,946580807,5086400,637,2107,274342,14235,8432
63,985105904,3320347,1305,1846,245185,7340,5616
96,697065650,1637221,721,725,153427,3278,4180
105,401100706,808890,364,447,72525,1352,463
797,313690196,5605028,15639,5851,542744,285195,22667
34,571182531,675089,194,1880,73409,4961,504
115,228611049,5293686,1821,1596,628567,11582,6923
566,656189794,712514,630,423,72195,5404,1107
34,271068651,2161232,936,2787,324649,10857,16703
115,783577706,198880,348,910,12699,161,1263
212,228432581,790579,1169,1155,21633,3911,257
186,911113260,1015828,1354,1668,66751,7042,6553
7058,570889935,6910102,37089,8808,102604,69835,590
18,698736746,1893403,748,1196,116886,39924,603
85,443644270,257477,1183,674,3848,71,105
36,859777734,4472768,841,920,288690,3181,2969
154,854972262,1849592,603,1091,42497,255,802
14,911004289,1186331,329,1457,233017,4346,14351
43,730641360,2578940,757,1103,197569,3646,3973
16,783442465,1186562,303,1005,71202,2612,3258
623,486051504,3066059,6805,1891,309635,66873,7696
31,424478046,2165206,410,433,67107,652,4002
1102,983669203,7868460,59959,14568,817611,292832,15159
176,228466494,352878,456,144,28724,2302,97
252,740771591,1328438,1483,310,50697,4396,5759
705,309952238,7931526,24373,6296,566545,224553,17758
581,868628548,4205261,21026,5334,460084,251051,8735
75,910829094,2253910,1641,426,91248,8020,8873
201,271006171,1221227,828,876,97039,15726,1377
82,228533570,791081,364,572,64557,2677,889
1309,428147621,20078425,151507,14699,1179808,610744,45155
601,45629276,28429493,84646,13431,1678402,1474066,106238
91,826089210,602939,271,554,15429,194,1216
664,383003838,10734297,35717,11670,929201,656607,38472
102,953130896,4482815,3833,1433,274031,36804,30601
641,868110250,2065854,3654,1865,150733,20634,4018
733,712177779,6764775,61058,8517,493800,121603,14118
579,945502040,6795987,16025,5172,585382,241763,47197
222,398537078,786209,2303,1211,52023,3956,2391
63,783300896,1575840,148428,1504,173159,33648,10365
586,697695172,1972784,5191,4584,176560,31632,3437
255,953396579,1364893,1851,772,79548,3661,1602
236,613522268,828407,599,494,52272,8492,1258
414,868506183,234721,936,763,18267,1608,147
1202,355883657,1544491,6885,2657,67903,14488,6119
294,613509391,1934042,2420,828,123637,8837,857
797,313690196,5605028,15639,5851,542744,285195,22667
669,398028639,8370184,25298,9208,584979,243048,11179
599,951776715,3262553,3840,2049,295872,74687,4535
22,826020940,675123,196,393,55642,408,235
23,935779112,1940603,145,181,107052,326,930
610,312929515,7230145,25606,5271,501275,194841,11229
40,974678029,2097008,262,315,64269,1065,7346
1227,820361932,3239864,9550,3935,268711,68571,3085
57,777942843,2417052,1107,1120,162375,4065,20491
277,356116804,2553586,1670,1115,182721,3817,2290
199,911023221,1050269,930,1418,112614,2673,1241
627,400664449,3358034,19004,3038,266043,84330,3957
674,741309117,977854,7174,1684,133263,30566,1333
704,783593079,506959,2416,368,38532,5890,254
832,783285441,1945870,5268,1162,197487,30628,1624
25,396246163,1582512,531,728,169957,1938,2979
